
Star Data Extractor Tool
     Image: [1] m23_3.5_071.fit
     Stars Found: 2508 (good stars)
     Radius of star diaphragm: 5
     Sky annulus inner radius: 7
     Sky annulus outer radius: 11
     Threshold factor: High = 1.04
       X	       Y	   Sigma	    FWHM	 Sky ADU	   Star ADU
  746.58	  459.64	    2.00	    4.70	   760.8	  1200972.0
  547.57	  493.95	    1.50	    3.52	   763.2	   714867.4
  462.38	  523.01	    1.50	    3.52	   769.0	   707353.7
  230.97	  347.20	    1.69	    3.98	   756.7	   587742.8
  112.45	  420.52	    1.97	    4.64	   760.1	   581211.0
  153.63	  614.49	    1.80	    4.23	   743.0	   526216.6
  957.99	  389.36	    1.16	    2.74	   720.9	   508107.5
  500.73	  376.04	    1.32	    3.09	   747.8	   467604.9
  550.72	  571.94	    1.36	    3.20	   752.6	   441891.8
  369.82	  409.03	    1.44	    3.39	   775.9	   412514.2
  580.00	  819.65	    1.55	    3.64	   726.0	   383154.4
  479.33	  572.02	    1.47	    3.45	   757.9	   374358.2
  336.75	  573.45	    1.49	    3.51	   746.5	   356910.2
  586.45	   96.41	    1.58	    3.72	   724.8	   349010.1
  366.07	  362.05	    1.57	    3.68	   762.8	   343898.8
  700.99	  686.01	    1.31	    3.08	   732.3	   342701.3
  580.56	  561.08	    1.32	    3.11	   741.2	   342450.0
  457.39	  309.47	    1.49	    3.51	   741.6	   327616.3
   83.07	  774.68	    1.87	    4.39	   726.3	   324352.9
 1003.41	  330.14	    1.32	    3.11	   706.4	   318388.6
  342.10	  460.34	    1.55	    3.64	   764.8	   316395.3
  757.90	  281.49	    1.30	    3.05	   723.8	   313490.3
  676.07	  464.36	    1.26	    2.97	   761.6	   312211.1
  447.49	  738.34	    1.57	    3.68	   740.6	   288812.2
  539.54	  426.10	    1.31	    3.09	   741.4	   262292.2
  359.43	  497.46	    1.59	    3.74	   757.4	   218534.6
  860.07	  632.30	    1.28	    3.01	   716.2	   214571.4
  496.51	  628.96	    1.50	    3.53	   734.8	   211673.5
  621.56	  446.08	    1.26	    2.95	   740.4	   205092.9
  922.94	  603.64	    1.29	    3.03	   716.2	   199983.6
  453.51	  390.57	    1.49	    3.50	   741.7	   199532.9
  202.58	  647.99	    1.71	    4.02	   732.3	   197060.6
  750.18	  556.76	    1.29	    3.04	   725.0	   193093.4
  413.63	  887.82	    1.83	    4.29	   728.7	   192242.0
  643.40	  447.43	    1.36	    3.19	   741.8	   190154.6
  257.60	  476.91	    1.65	    3.87	   748.1	   182226.0
  267.18	  447.19	    1.62	    3.80	   765.6	   178752.8
  265.17	  446.23	    2.18	    5.12	   760.9	   176821.8
  448.88	  448.79	    1.39	    3.26	   757.7	   174787.9
  813.68	  680.96	    1.37	    3.22	   719.6	   170416.3
  410.77	  703.95	    1.55	    3.63	   729.7	   162574.2
  380.34	  370.00	    1.53	    3.60	   753.7	   160636.4
  784.55	  537.39	    1.36	    3.19	   719.0	   150569.5
